case,metric,count,mean,p50,p95,min,max,text_variants,wav_variants,tool_calls
VC01,total_ms,20,4243.500,4242.669,4264.356,4215.490,4268.365,1,1,0
VC01,first_text_ms,20,2088.074,2086.167,2099.728,2076.336,2102.008,1,1,0
VC01,audio_ready_ms,20,4243.473,4242.644,4264.333,4215.466,4268.337,1,1,0
VC01,perception_ms,20,19.900,20.000,21.000,19.000,21.000,1,1,0
VC01,timeline_ms,20,2914.100,2912.000,2929.000,2900.000,2930.000,1,1,0
VC01,drain_ms,20,584.750,585.000,587.000,581.000,591.000,1,1,0
VC01,total_s2s_rtf,20,1.083,1.082,1.088,1.075,1.089,1,1,0
VC02,total_ms,3,10534.540,10542.009,10544.935,10516.677,10544.935,1,1,0
VC02,first_text_ms,3,2928.641,2920.745,2944.924,2920.253,2944.924,1,1,0
VC02,audio_ready_ms,3,10534.512,10541.979,10544.902,10516.654,10544.902,1,1,0
VC02,perception_ms,3,23.000,23.000,24.000,22.000,24.000,1,1,0
VC02,timeline_ms,3,5682.333,5677.000,5693.000,5677.000,5693.000,1,1,0
VC02,drain_ms,3,2583.333,2582.000,2589.000,2579.000,2589.000,1,1,0
VC02,total_s2s_rtf,3,0.775,0.775,0.775,0.773,0.775,1,1,0
VC03,total_ms,3,42607.610,42607.335,42625.914,42589.580,42625.914,1,1,0
VC03,first_text_ms,3,19141.862,19131.276,19163.277,19131.032,19163.277,1,1,0
VC03,audio_ready_ms,3,42607.576,42607.301,42625.879,42589.549,42625.879,1,1,0
VC03,perception_ms,3,91.667,92.000,92.000,91.000,92.000,1,1,0
VC03,timeline_ms,3,31633.667,31626.000,31650.000,31625.000,31650.000,1,1,0
VC03,drain_ms,3,5391.667,5393.000,5399.000,5383.000,5399.000,1,1,0
VC03,total_s2s_rtf,3,1.256,1.256,1.257,1.256,1.257,1,1,0
VC04,total_ms,3,4252.431,4251.689,4256.817,4248.788,4256.817,1,1,0
VC04,first_text_ms,3,2087.331,2086.484,2089.727,2085.783,2089.727,1,1,0
VC04,audio_ready_ms,3,4252.407,4251.664,4256.794,4248.763,4256.794,1,1,0
VC04,perception_ms,3,19.667,19.000,21.000,19.000,21.000,1,1,0
VC04,timeline_ms,3,2914.333,2913.000,2918.000,2912.000,2918.000,1,1,0
VC04,drain_ms,3,586.000,586.000,587.000,585.000,587.000,1,1,0
VC04,total_s2s_rtf,3,1.085,1.085,1.086,1.084,1.086,1,1,0
VC05,total_ms,3,10463.571,10468.455,10482.705,10439.553,10482.705,1,1,0
VC05,first_text_ms,3,5421.993,5422.215,5429.179,5414.586,5429.179,1,1,0
VC05,audio_ready_ms,3,10463.537,10468.428,10482.672,10439.512,10482.672,1,1,0
VC05,perception_ms,3,37.000,38.000,38.000,35.000,38.000,1,1,0
VC05,timeline_ms,3,7058.667,7059.000,7066.000,7051.000,7066.000,1,1,0
VC05,drain_ms,3,1807.333,1809.000,1817.000,1796.000,1817.000,1,1,0
VC05,total_s2s_rtf,3,1.137,1.138,1.139,1.135,1.139,1,1,0
VC06,total_ms,3,7887.629,7892.099,7911.121,7859.668,7911.121,1,1,3
VC06,first_text_ms,3,4250.959,4245.949,4276.483,4230.445,4276.483,1,1,3
VC06,audio_ready_ms,3,7887.591,7892.070,7911.063,7859.639,7911.063,1,1,3
VC06,perception_ms,3,20.667,21.000,21.000,20.000,21.000,1,1,3
VC06,timeline_ms,3,5652.667,5662.000,5673.000,5623.000,5673.000,1,1,3
VC06,drain_ms,3,1129.667,1129.000,1132.000,1128.000,1132.000,1,1,3
VC06,total_s2s_rtf,3,1.232,1.233,1.236,1.228,1.236,1,1,3
